,SamplingDate,SO2_6AM_10AM_238,SO2_10AM_2PM_238,SO2_2PM_6PM_238,SO2_6PM_10PM_238,SO2_10PM_2AM_238,SO2_2AM_6AM_238,NO2_6AM_10AM_238,NO2_10AM_2PM_238,NO2_2PM_6PM_238,NO2_6PM_10PM_238,NO2_10PM_2AM_238,NO2_2AM_6AM_238,RSPM_6AM_2PM_238,RSPM_2PM_10PM_238,RSPM_10PM_6AM_238,SPM_6AM_2PM_238,SPM_2PM_10PM_238,SPM_10PM_6AM_238,RSPM_238,SO2_238,SPM_238,NO2_238,SO2_6AM_10AM_375,SO2_10AM_2PM_375,SO2_2PM_6PM_375,SO2_6PM_10PM_375,SO2_10PM_2AM_375,SO2_2AM_6AM_375,NO2_6AM_10AM_375,NO2_10AM_2PM_375,NO2_2PM_6PM_375,NO2_6PM_10PM_375,NO2_10PM_2AM_375,NO2_2AM_6AM_375,RSPM_6AM_2PM_375,RSPM_2PM_10PM_375,RSPM_10PM_6AM_375,SPM_6AM_2PM_375,SPM_2PM_10PM_375,SPM_10PM_6AM_375,RSPM_375,SO2_375,SPM_375,NO2_375
37,2009-06-08 00:00:00,20.8,12.5,17.5,14.0,21.6,20.8,15.7,21.3,12.3,14.5,13.4,22.4,38.0,49.0,48.0,135.0,65.0,56.0,45.0,17.8666,85.3333,16.6,13.4,13.4,6.0,7.4,7.4,7.9,19.0,14.5,16.8,12.3,16.8,12.3,12.0,23.0,33.0,48.0,30.0,50.0,22.6666,9.25,42.6666,15.2833
38,2009-06-01 00:00:00,4.0,7.5,,8.3,10.8,6.7,24.6,40.3,,39.0,25.7,35.8,22.0,47.0,17.0,52.0,59.0,59.0,28.6666,7.46,56.6666,33.08,5.6,6.9,4.0,4.0,5.0,13.4,33.6,30.2,16.8,22.4,30.2,33.6,14.0,19.0,14.0,29.0,54.0,41.0,15.6666,6.4833,41.3333,27.8
39,2009-05-25 00:00:00,7.9,9.7,4.0,4.0,4.0,4.0,28.0,20.1,21.3,12.3,10.1,20.1,118.0,40.0,22.0,167.0,49.0,61.0,60.0,5.6,92.3333,18.65,7.4,9.3,4.0,4.0,4.0,6.9,20.1,30.2,21.3,14.5,28.0,40.3,24.0,20.0,24.0,65.0,24.0,31.0,22.6666,5.9333,40.0,25.7333
40,2009-05-18 00:00:00,,,4.0,5.6,4.0,4.0,,,19.0,29.1,21.3,20.1,,56.0,35.0,,95.0,63.0,45.5,4.4,79.0,22.375,4.0,4.6,6.0,4.0,4.0,4.0,23.5,17.9,21.3,14.5,19.0,23.5,38.0,31.0,22.0,62.0,58.0,29.0,30.3333,4.4333,49.6666,19.95
41,2009-05-11 00:00:00,5.6,5.1,5.1,6.5,4.0,4.0,13.4,14.5,15.7,13.4,14.5,14.5,73.0,53.0,30.0,112.0,114.0,74.0,52.0,5.05,100.0,14.3333,5.1,7.4,4.0,5.6,4.2,4.0,16.8,17.9,22.4,15.7,13.4,13.4,52.0,34.0,19.0,106.0,87.0,27.0,35.0,5.05,73.3333,16.6
42,2009-05-04 00:00:00,4.0,7.9,4.6,6.9,5.6,6.5,13.4,15.7,13.4,31.3,35.8,12.3,39.0,44.0,67.0,94.0,180.0,164.0,50.0,5.9166,146.0,20.3166,6.9,6.9,4.6,7.9,6.9,8.8,47.0,13.4,20.1,20.1,17.9,12.3,37.0,42.0,37.0,67.0,120.0,53.0,38.6666,7.0,80.0,21.8
43,2009-04-27 00:00:00,9.3,4.0,,8.3,4.0,4.0,20.1,17.9,,21.5,22.4,26.9,46.0,,53.0,104.0,,111.0,49.5,5.92,107.5,21.76,4.0,7.4,,6.5,4.0,4.0,26.9,31.3,,20.1,15.7,15.7,94.0,52.0,24.0,111.0,86.0,38.0,56.6666,5.18,78.3333,21.94
44,2009-04-20 00:00:00,4.0,8.8,4.0,4.0,6.5,4.0,22.4,20.1,21.3,17.9,15.7,20.1,23.0,46.0,47.0,70.0,114.0,99.0,38.6666,5.2166,94.3333,19.5833,4.0,4.0,4.0,5.1,4.0,4.0,21.3,31.3,57.4,22.4,32.5,20.1,32.0,31.0,35.0,70.0,64.0,47.0,32.6666,4.1833,60.3333,30.8333
45,2009-04-13 00:00:00,4.0,4.0,5.1,4.0,4.0,4.0,56.0,26.9,22.4,44.8,15.7,39.2,135.0,50.0,74.0,159.0,134.0,181.0,86.3333,4.1833,158.0,34.1666,4.0,4.0,,4.2,4.0,4.0,41.4,45.9,,17.9,36.9,41.4,72.0,56.0,34.0,89.0,128.0,45.0,54.0,4.04,87.3333,36.7
46,2009-04-06 00:00:00,5.8,10.8,,4.0,4.0,8.3,36.9,32.5,,20.1,38.0,47.0,50.0,104.0,61.0,119.0,167.0,103.0,71.6666,6.58,129.6666,34.9,4.0,4.0,,8.3,4.0,4.0,32.5,30.2,,51.5,28.0,39.2,40.0,67.0,53.0,123.0,119.0,67.0,53.3333,4.86,103.0,36.28
47,2006-07-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,6.7,10.0,10.8,15.0,11.6,7.5,31.3,43.9,32.5,28.0,25.7,22.4,38.0,53.0,17.0,89.8,81.1,26.2,36.0,10.267000000000001,65.7,30.633000000000003
48,2006-04-10 00:00:00,9.1,10.8,12.5,15.0,8.3,12.0,21.3,30.2,26.9,23.5,26.9,16.8,24.0,14.0,15.0,46.0,24.0,32.0,17.66666667,11.28333333,34.0,24.26666667,,,8.3,10.8,14.1,7.5,,,39.2,31.3,25.7,21.3,,53.1,32.5,,59.2,72.9,42.8,10.175,66.05,29.375
